iter	Passed	Remaining
408	4337	27477
409	4338	27406
410	4348	27391
411	4349	27323
412	4365	27345
413	4378	27352
414	4394	27371
415	4395	27303
416	4407	27298
417	4408	27231
418	4409	27163
419	4414	27116
420	4425	27107
421	4440	27124
422	4455	27144
423	4472	27173
424	4490	27209
425	4507	27233
426	4508	27166
427	4523	27182
428	4536	27189
429	4538	27124
430	4544	27084
431	4560	27110
432	4573	27115
433	4589	27135
434	4605	27158
435	4610	27111
436	4628	27143
437	4641	27151
438	4658	27175
439	4659	27109
440	4660	27045
441	4676	27064
442	4679	27009
443	4681	26948
444	4696	26967
445	4697	26902
446	4700	26844
447	4701	26779
448	4709	26757
449	4710	26694
450	4711	26630
451	4729	26661
452	4737	26636
453	4752	26654
454	4768	26674
455	4770	26612
456	4785	26628
457	4791	26592
458	4799	26571
459	4809	26555
460	4825	26574
461	4826	26512
462	4837	26508
463	4840	26454
464	4841	26393
465	4853	26390
466	4854	26329
467	4855	26270
468	4856	26209
469	4868	26207
470	4876	26185
471	4890	26195
472	4893	26141
473	4894	26085
474	4908	26090
475	4909	26032
476	4915	26001
477	4917	25942
478	4918	25883
479	4923	25850
480	4936	25850
481	4939	25804
482	4954	25818
483	4961	25789
484	4973	25790
485	4974	25732
486	4975	25675
487	4977	25619
488	4992	25634
489	5004	25637
490	5013	25619
491	5036	25672
492	5059	25728
493	5088	25812
494	5117	25895
495	5118	25842
496	5127	25821
497	5157	25910
498	5184	25987
499	5189	25945
500	5191	25893
501	5215	25951
502	5238	26006
503	5243	25965
504	5250	25939
505	5278	26015
506	5301	26066
507	5315	26072
508	5337	26120
509	5358	26159
510	5379	26200
511	5402	26250
512	5420	26276
513	5421	26221
514	5425	26178
515	5427	26129
516	5446	26155
517	5463	26180
518	5474	26168
519	5492	26193
520	5493	26139
521	5511	26164
522	5528	26183
523	5539	26175
524	5540	26119
525	5557	26137
526	5572	26150
527	5574	26097
528	5590	26112
529	5591	26058
530	5601	26046
531	5617	26061
532	5632	26067
533	5648	26086
534	5651	26037
535	5653	25989
536	5657	25948
537	5675	25970
538	5693	25995
539	5711	26017
540	5726	26027
541	5742	26042
542	5758	26055
543	5759	26003
544	5774	26013
545	5790	26025
546	5792	25977
547	5806	25982
548	5815	25962
549	5816	25912
550	5819	25865
551	5834	25876
552	5836	25824
553	5840	25786
554	5841	25734
555	5856	25742
556	5857	25691
557	5858	25638
558	5874	25654
559	5881	25627
560	5884	25582
561	5885	25531
562	5887	25483
563	5899	25482
564	5916	25496
565	5917	25448
566	5934	25464
567	5938	25426
568	5955	25442
569	5973	25465
570	5994	25500
571	6010	25513
572	6029	25537
573	6030	25488
574	6047	25504
575	6064	25522
576	6068	25484
577	6086	25505
578	6104	25523
579	6122	25543
580	6142	25573
581	6148	25544
582	6149	25496
583	6151	25448
584	6160	25430
585	6181	25465
586	6185	25425
587	6186	25378
588	6199	25375
589	6200	25328
590	6202	25283
591	6225	25321
592	6244	25346
593	6263	25371
594	6284	25400
595	6295	25392
596	6296	25345
597	6316	25370
598	6336	25397
599	6355	25421
600	6358	25379
601	6362	25342
602	6381	25366
603	6389	25347
604	6400	25336
605	6401	25289
606	6425	25332
607	6441	25343
608	6443	25298
609	6451	25275
610	6473	25310
611	6474	25263
612	6482	25242
613	6500	25261
614	6501	25213
615	6521	25239
616	6524	25198
617	6539	25206
618	6541	25163
619	6555	25166
620	6558	25124
621	6566	25103
622	6567	25057
623	6584	25072
624	6586	25027
625	6603	25043
626	6604	24997
627	6620	25004
628	6632	24999
629	6647	25008
630	6649	24963
631	6664	24969
632	6680	24980
633	6681	24934
634	6682	24888
635	6696	24890
636	6697	24844
637	6698	24799
638	6715	24812
639	6730	24818
640	6731	24772
641	6732	24726
642	6734	24685
643	6737	24649
644	6749	24641
645	6752	24605
646	6764	24602
647	6771	24577
648	6785	24580
649	6797	24574
650	6807	24561
651	6808	24519
652	6809	24475
653	6813	24441
654	6814	24397
655	6818	24362
656	6831	24364
657	6833	24322
658	6847	24324
659	6852	24296
660	6864	24289
661	6874	24278
662	6876	24240
663	6879	24200
664	6894	24206
665	6909	24214
666	6926	24226
667	6941	24232
668	6942	24191
669	6944	24150
670	6959	24156
671	6960	24114
672	6969	24097
673	6970	24056
674	6971	24013
675	6972	23971
676	6985	23968
677	6986	23926
678	6987	23884
679	7001	23886
680	7013	23882
681	7016	23848
682	7018	23808
683	7029	23803
684	7045	23810
685	7054	23796
686	7055	23756
687	7071	23763
688	7086	23770
689	7088	23729
690	7091	23697
691	7092	23656
692	7096	23624
693	7111	23630
694	7127	23637
695	7128	23596
696	7144	23605
697	7160	23614
698	7161	23576
699	7163	23535
700	7164	23495
701	7178	23499
702	7179	23459
703	7195	23466
704	7210	23471
705	7227	23483
706	7241	23485
707	7242	23447
708	7243	23407
709	7259	23413
710	7274	23420
711	7287	23417
712	7288	23377
713	7303	23384
714	7310	23364
715	7329	23379
716	7347	23396
